Timestamp,X Accel,Y Accel,Z Accel
56:57.2,0.059999999,-1.529999971,-9.960000038
56:57.5,-0.140000001,-1.570000052,-9.670000076
56:57.8,-0.02,-1.350000024,-9.050000191
56:58.1,0.170000002,-1.059999943,-8.229999542
56:58.5,0.579999983,-0.479999989,-5.800000191
56:58.8,0.340000004,-0.779999971,-4.070000172
56:59.1,0.550000012,-0.059999999,-3
56:59.4,0.370000005,-0.75,-1.529999971
56:59.7,0.219999999,-0.109999999,-1.220000029
57:00.0,0.239999995,-0.239999995,-1.070000052
57:00.3,0.49000001,-0.639999986,-0.850000024
57:00.7,0.649999976,-0.579999983,-1.399999976
57:01.0,0.25999999,-0.200000003,-1.440000057
57:01.3,0.340000004,-0.889999986,-1.269999981
57:01.6,0.340000004,-0.769999981,-0.930000007
57:01.9,-0.07,0.159999996,0.140000001
57:02.2,0.550000012,0.039999999,-0.239999995
57:02.5,0.629999995,-0.569999993,0.129999995
57:02.9,0.379999995,-0.540000021,0.569999993
57:03.2,0.360000014,0.059999999,0.159999996
57:03.5,0.639999986,-0.790000021,-0.620000005
57:03.8,0.379999995,-0.829999983,-0.330000013
57:04.1,0.270000011,0.07,-0.090000004
57:04.4,0.579999983,-0.460000008,-0.159999996
57:04.7,0.400000006,0.180000007,-0.360000014
57:05.1,0.25,0.01,-0.029999999
57:05.4,0.469999999,0.039999999,-0.370000005
57:05.7,0.670000017,0.059999999,-0.790000021
57:06.0,0.400000006,-0.039999999,-0.119999997
57:06.3,-0.100000001,-0.419999987,-0.370000005
57:06.6,0.400000006,-0.529999971,-0.209999993
57:06.9,0.389999986,-0.769999981,0.180000007
57:07.3,0.170000002,-0.370000005,0.340000004
57:07.6,0.349999994,-0.800000012,-0.330000013
57:07.9,0.280000001,-0.670000017,-0.180000007
57:08.2,0.469999999,-0.02,-0.360000014
57:08.5,0.519999981,-0.569999993,-1.029999971
57:08.8,0.370000005,-0.25999999,0.209999993
57:09.1,0.439999998,-0.660000026,-0.649999976
57:09.5,0.200000003,0.349999994,-0.090000004
57:09.8,0.370000005,0.230000004,0.439999998
57:10.1,0.310000002,-0.100000001,-0.150000006
57:10.4,-0.01,0.25,0.730000019
57:10.7,0.620000005,-0.109999999,0.100000001
57:11.0,0.419999987,-0.74000001,-0.449999988
57:11.3,0.270000011,-0.129999995,-0.140000001
57:11.7,0.579999983,-0.349999994,-0.850000024
57:12.0,0.219999999,-0.670000017,-0.370000005
57:12.3,0.589999974,-0.02,-0.239999995
57:12.6,0.330000013,0.029999999,-0.239999995
57:12.9,0.75,0.109999999,-0.129999995
57:13.2,0.49000001,-0.050000001,-0.270000011
57:13.5,0.330000013,0.059999999,0.180000007
57:13.9,0.629999995,-0.129999995,0.310000002
57:14.2,0.689999998,0.119999997,-0.209999993
57:14.5,0.569999993,-0.090000004,0.059999999
57:14.8,0.469999999,-0.419999987,-0.150000006
57:15.1,0.479999989,-0.479999989,-0.709999979
57:15.4,0.75999999,-0.5,-0.569999993
57:15.7,0.349999994,0.280000001,-0.01
57:16.1,0.620000005,-0.25999999,-0.589999974
57:16.4,0.469999999,-0.579999983,-0.800000012
57:16.7,0.5,-0.540000021,-0.140000001
57:17.0,0.649999976,0.349999994,0.090000004
57:17.3,0.300000012,-0.239999995,0.620000005
57:17.6,0.209999993,-0.340000004,-0.239999995
57:17.9,0.340000004,0.25,-0.119999997
57:18.3,0.670000017,-0.02,-0.150000006
57:18.6,0.180000007,-0.449999988,-1.919999957
57:18.9,0.230000004,0.01,-2.220000029
57:19.2,-0.029999999,-0.039999999,-4.099999905
57:19.5,0.02,-0.200000003,-3.700000048
57:19.8,0.75,-0.119999997,-5.699999809
57:20.1,0.360000014,-0.219999999,-5.889999866
57:20.5,0.07,-0.529999971,-6.03000021
57:20.8,0.529999971,-0.550000012,-8.729999542
57:21.1,0.280000001,-0.479999989,-9.029999733
57:21.4,0.02,-0.800000012,-9.899999619
57:21.7,-0.02,-0.289999992,-10.32999992
